"","OfferContactDate","CustomerID","ApplianceID","Brand","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"311","09/03/2017",1855,459,"A","B","E","FF",3,1,6,"A",3,8.44
"312","09/03/2017",2574,1347,"A","B","D","CK",3,1,8,"A",3,8.48
"313","09/03/2017",12912,13168,"A","B","F","FF",3,0,1,"A",1,8.63
"314","09/03/2017",11658,11857,"A","B","F","CK",15,0,2,"A",2,8.24
"315","09/03/2017",3660,2683,"A","A","F","FZ",3,5,13,"A",15,8.29
"316","09/03/2017",7001,6811,"A","B","F","AW",2,0,4,"A",2,8.77
"317","14/03/2017",1128,6313,"A","B","E","HB",2,1,4,"A",5,8.11
"318","09/03/2017",4869,4167,"A","B","F","AW",3,1,9,"A",3,8.23
"319","09/03/2017",14285,14638,"A","B","E","TD",2,1,1,"A",1,8.97
"320","09/03/2017",9569,9679,"A","A","F","DW",2,0,1,"A",2,8.6
"321","09/03/2017",11150,11331,"A","B","E","FF",3,0,1,"A",2,8.63
"322","09/03/2017",4288,3465,"A","B","F","FZ",1,0,1,"A",2,8.09
"323","09/03/2017",5611,5110,"A","B","F","FZ",2,0,7,"A",5,8.69
"324","09/03/2017",14609,15135,"A","B","E","DW",2,1,1,"A",2,8.94
"325","09/03/2017",13051,13316,"A","B","D","FF",3,0,1,"A",1,8.26
"326","09/03/2017",14123,14470,"A","B","F","DW",2,0,3,"A",3,8.51
"327","09/03/2017",12593,12837,"A","B","F","AW",3,0,1,"A",1,8.36
"328","09/03/2017",12287,12515,"A","B","F","AW",2,0,1,"A",1,8.85
"329","09/03/2017",3668,2692,"A","A","F","FR",1,0,3,"A",2,8.63
"330","09/03/2017",12094,12316,"A","B","D","AW",2,0,2,"A",4,8.31
"331","09/03/2017",14475,14884,"A","B","D","AW",3,0,0,"A",1,8.45
"332","09/03/2017",4017,3129,"A","B","F","AW",3,0,13,"A",1,8.18
"333","09/03/2017",5519,4982,"A","B","F","AW",2,0,4,"A",4,8.43
"334","09/03/2017",12590,12834,"A","B","F","CK",3,0,1,"A",1,8.71
"335","09/03/2017",1047,5818,"A","B","E","FZ",2,1,8,"A",4,8.08
